id,name,normalised_name,aliases
0eede992-c37c-3caa-a569-e3865b816561,Shay Healy,shay-healy,{'Shay Healy'}
0ef6d650-fed1-34e3-8277-8461584f675f,Evgene Fridlyand,evgene-fridlyand,{'Evgene Fridlyand'}
0f1c04d5-2039-34cd-a62e-d5cbc8438d76,Edyta Górniak,edyta-gorniak,{'Edyta Górniak'}
0f439031-de83-33b9-aa6c-321132546bcb,Didier Barbelivien,didier-barbelivien,{'Didier Barbelivien'}
0f61f4d0-c96e-3950-bbc7-26884f54bc04,Lasse Mårtenson,lasse-martenson,{'Lasse Mårtenson'}
0f811964-240b-3a46-b657-f6b3afc4e09a,Rick Vol,rick-vol,{'Rick Vol'}
0fe380cf-25c9-3900-af16-0f80f43c5eae,Raúl Orellana,raul-orellana,{'Raúl Orellana'}
0fee16c8-ca74-3d42-adaf-634306a0ee96,Anneli Saaristo,anneli-saaristo,{'Anneli Saaristo'}
10009c29-6eb0-32e5-8db2-3fc35a766e69,Justs,justs,{'Justs'}
101a527a-29bf-3a52-b6b5-4d6190749f74,Bobott,bobott,{'Bobott'}
1022804c-2e23-3bf1-8170-0152b78ed8d6,Lars Berghagen and the Dolls,lars-berghagen-and-the-dolls,{'Lars Berghagen and the Dolls'}
1040b67c-5964-3e34-927d-b66d784e6d9b,Minus One,minus-one,{'Minus One'}
1053fac6-a370-336c-aac5-7cd508efc40c,Gabriel Batler,gabriel-batler,{'Gabriel Batler'}
10665e5d-3f80-3304-8373-92599667342f,Azúcar Moreno,azucar-moreno,{'Azúcar Moreno'}
107744d5-dc80-3253-bf58-25aac0993d6a,Jump the Gun,jump-the-gun,{'Jump the Gun'}
10877bfd-d162-39a7-95ee-b7983f234531,Mary Hopkin,mary-hopkin,{'Mary Hopkin'}
109e744e-44d2-35b0-8c4a-9ec389b47cc7,Dmitry Novik,dmitry-novik,{'Dmitry Novik'}
10d01c41-94e0-3768-9442-e1461a7c1ff5,Sylvano Santorio,sylvano-santorio,{'Sylvano Santorio'}
10f14b16-3f50-37b0-9f1c-dda035fe4740,Ott Lepland,ott-lepland,{'Ott Lepland'}
1104e4be-e9ef-3af4-a3e0-3cc766b5e4ee,Dami Im,dami-im,{'Dami Im'}
112fc398-2ea0-3a48-89c9-149beae8f30e,Jemini,jemini,{'Jemini'}
